iter	Passed	Remaining
0	148	148679
1	150	74866
2	150	50139
3	151	37775
4	153	30557
5	155	25812
6	156	22229
7	157	19515
8	158	17409
9	158	15708
10	159	14323
11	159	13172
12	160	12199
13	161	11366
14	162	10638
15	162	9995
16	163	9435
17	163	8934
18	164	8482
19	164	8080
20	165	7731
21	167	7426
22	168	7173
23	169	6905
24	170	6658
25	171	6419
26	172	6198
27	172	5996
28	173	5805
29	174	5628
30	174	5461
31	175	5305
32	176	5160
33	176	5022
34	177	4894
35	178	4774
36	179	4662
37	180	4562
38	182	4491
39	183	4397
40	183	4303
41	184	4213
42	185	4130
43	186	4048
44	186	3966
45	187	3891
46	188	3816
47	188	3744
48	189	3678
49	190	3614
50	190	3552
51	191	3497
52	192	3443
53	194	3406
54	195	3359
55	196	3312
56	197	3262
57	197	3212
58	198	3166
59	199	3122
60	199	3078
61	200	3035
62	201	2992
63	201	2953
64	202	2913
65	203	2876
66	204	2842
67	204	2806
68	205	2771
69	206	2740
70	207	2712
71	209	2694
72	209	2666
73	210	2636
74	211	2608
75	212	2579
76	212	2550
77	213	2522
78	214	2495
79	214	2469
80	215	2444
81	216	2418
82	216	2390
83	217	2366
84	217	2342
85	218	2319
86	218	2296
87	219	2273
88	220	2253
89	221	2236
90	222	2222
91	223	2206
92	224	2189
93	225	2170
94	225	2151
95	226	2134
96	227	2116
97	228	2105
98	229	2088
99	230	2070
100	230	2053
101	231	2036
102	232	2020
103	232	2004
104	233	1989
105	234	1975
106	235	1965
107	237	1960
108	238	1950
109	239	1937
110	240	1924
111	241	1910
112	241	1898
113	242	1886
114	243	1873
115	244	1860
116	244	1846
117	245	1834
118	246	1821
119	246	1809
120	247	1797
121	248	1784
122	249	1775
123	251	1777
124	252	1770
125	254	1763
126	254	1751
127	255	1741
128	256	1731
129	257	1721
130	257	1711
131	258	1701
132	259	1691
133	260	1680
134	260	1670
135	261	1660
136	262	1651
137	262	1642
138	263	1635
139	266	1634
140	267	1628
141	267	1618
142	268	1610
143	269	1601
144	270	1593
145	271	1585
146	271	1577
147	272	1568
148	273	1560
149	273	1552
150	274	1544
151	275	1536
152	276	1528
153	277	1522
154	277	1515
155	279	1511
156	280	1506
157	282	1504
158	283	1498
159	284	1491
160	284	1482
161	285	1475
162	285	1468
163	286	1461
164	287	1453
165	287	1446
166	288	1439
167	289	1432
168	289	1425
169	290	1419
170	291	1415
171	293	1413
172	295	1410
173	296	1405
174	296	1399
175	297	1393
176	298	1387
177	299	1381
178	299	1375
179	300	1369
180	301	1363
181	302	1357
182	302	1351
183	303	1345
184	304	1339
185	304	1333
186	305	1328
187	306	1325
188	309	1327
189	310	1323
190	311	1318
191	311	1312
192	312	1308
193	313	1303
194	314	1297
195	315	1292
196	315	1287
197	316	1281
198	317	1276
199	317	1271
200	318	1266
201	319	1261
202	320	1258
203	322	1257
204	323	1254
205	324	1250
206	325	1246
207	326	1241
208	326	1237
209	327	1232
210	328	1227
211	329	1223
212	329	1218
213	330	1214
214	331	1209
215	331	1204
216	332	1200
217	333	1195
218	335	1194
219	336	1193
220	337	1190
221	338	1187
222	339	1183
223	340	1179
224	341	1175
225	342	1171
226	342	1167
227	343	1163
228	344	1159
229	344	1154
230	345	1150
231	346	1146
232	347	1142
233	347	1138
234	348	1135
235	350	1134
236	351	1132
237	352	1129
238	353	1125
239	354	1121
240	354	1117
241	355	1114
242	356	1110
243	357	1107
244	357	1103
245	358	1099
246	359	1095
247	360	1092
248	361	1089
249	362	1086
250	363	1085
251	365	1085
252	367	1083
253	368	1081
254	368	1077
255	369	1074
256	370	1071
257	371	1068
258	372	1065
259	373	1062
260	374	1059
261	374	1056
262	375	1052
263	376	1049
264	377	1046
265	378	1044
266	380	1043
267	380	1040
268	381	1037
269	382	1034
270	383	1030
271	383	1027
272	384	1024
273	385	1021
274	386	1019
275	387	1017
276	388	1013
277	389	1010
278	389	1007
279	390	1004
280	391	1002
281	392	999
282	394	998
283	395	996
284	396	993
285	396	990
286	397	987
287	398	985
288	399	982
289	400	979
290	400	976
291	401	973
292	402	970
293	403	967
294	403	964
295	404	961
296	405	959
297	406	957
298	408	957
299	409	955
300	410	952
301	411	949
302	412	948
303	413	945
304	413	943
305	414	940
306	415	937
307	416	935
308	416	932
309	417	929
310	418	927
311	419	924
312	420	922
313	421	921
314	422	919
315	423	917
316	424	914
317	425	912
318	426	909
319	426	907
320	427	904
321	428	902
322	429	899
323	429	896
324	430	894
325	431	892
326	432	889
327	433	887
328	434	885
329	434	882
330	435	880
331	436	878
332	437	876
333	438	874
334	439	872
335	440	870
336	441	868
337	442	865
338	442	863
339	443	860
340	444	858
341	445	856
342	445	853
343	446	851
344	447	849
345	447	846
346	448	844
347	449	842
348	450	840
349	451	838
350	452	836
351	453	834
352	453	832
353	454	829
354	455	827
355	456	824
356	456	822
357	457	820
358	458	818
359	459	816
360	459	813
361	460	811
362	461	809
363	462	807
364	462	805
365	463	803
366	464	801
367	465	799
368	466	797
369	467	796
370	468	794
371	469	791
372	469	789
373	470	787
374	471	785
375	471	783
376	472	781
377	473	778
378	474	776
379	474	774
380	475	772
381	476	770
382	477	768
383	478	766
384	479	765
385	479	763
386	480	761
387	481	760
388	482	757
389	483	755
